country,region,GDP per capita usd,population,suicides/100k pop,gini,HDI,median_age,life_expectancy,household_debt_percent_GDP,happiness
Kiribati,,,,,37,0.621,24.3,67.291,,
Solomon Islands,,,,,37,0.546,22.2,72.173,7.35,
Yemen,,,,,36.7,0.483,19.2,66.085,,4.077
Fiji,OCEANIA                            ,5073,782939,4.087163879,36.4,0.738,28.6,67.103,,
Laos,,,,,36.4,0.593,22.7,66.546,,4.876
Tunisia,,,,,35.8,0.728,32.4,75.922,,4.739
Syria,,,,,35.8,0.538,24.1,69.908,,3.006
Portugal,WESTERN EUROPE                     ,23091,9944433,12.2882823,35.6,0.842,41.8,81.12439024,76.7,5.102
Macedonia,,,,,35.6,,37.5,,,5.007
Sudan,,,,,35.4,0.497,19.6,64.429,,4.55
Uzbekistan,,,,,35.3,0.698,28.1,70.928,,6.003
Burkina Faso,,,,,35.3,0.412,17.2,59.919,,3.587
India,,,,,35.2,0.627,27.6,68.607,9.66,4.565
Vietnam,,,,,34.8,0.684,30.1,75.11,,5.36
Tajikistan,,,,,34,0.645,24.2,70.137,9.4,4.786
Niger,,,,,34,0.347,15.3,60.631,,3.845
Canada,NORTHERN AMERICA                   ,55310,33314836,12.16875268,34,0.92,42,81.9,97.49,7.427
Sierra Leone,,,,,34,0.413,19,52.941,1.06,4.507
Bosnia and Herzegovina,EASTERN EUROPE                     ,5079,3654169,8.565558955,33.8,0.755,41.7,76.865,,4.949
Guinea,,,,,33.7,0.443,18.8,59.598,,3.656
Jordan,,,,,33.7,0.733,22.3,74.078,,5.192
Ethiopia,,,,,33.2,0.451,17.8,65.048,,4.512
Liberia,,,,,33.2,0.432,18.3,62.269,,4.571
Mali,,,,,33,0.418,16.2,57.509,,3.995
Nepal,,,,,32.8,0.566,23.6,69.515,30.25,4.514
Mauritania,,,,,32.4,0.514,20.3,63.936,,4.436
France,WESTERN EUROPE                     ,47318,60275954,14.73390201,32.3,0.898,41.2,82.32195122,56.25,6.575
Bangladesh,,,,,32.1,0.592,26.3,71.514,7.73,4.694
Mongolia,OCEANIA                            ,46198,4129770,12.42199929,32,0.737,27.9,69.111,,4.874
Montenegro,,,,,31.9,0.809,40.2,76.452,,5.192
Ireland,WESTERN EUROPE                     ,59634,4328043,11.22909361,31.9,0.929,36.4,81.45365854,56.46,6.94
Lebanon,,,,,31.8,0.752,29.9,78.768,,4.839
Azerbaijan,,,,,31.8,0.758,30.9,72.266,,5.212
Egypt,,,,,31.8,0.691,23.8,71.302,,4.194
São Tomé and Principe,,,,,30.8,,,,,
Pakistan,,,,,30.7,0.551,23.4,66.577,3.1,5.194
Timor-Leste,,,,,30.3,0.63,,68.459,,
Iraq,,,,,29.5,0.668,19.9,69.929,,4.677
Albania,,,,,29,0.776,32.5,78.025,11.28,4.959
Kyrgyz Republic,,,,,29,,,70.65121951,,
Algeria,,,,,27.6,0.749,27.8,76.09,2.77,5.605
Moldova,,,,,27,0.693,36.3,71.478,,5.889
Belarus,EASTERN EUROPE                     ,8849,8906977,19.54647463,26.7,0.805,39.8,73.62439024,,5.813
Slovakia,,,,,26.1,0.851,40.1,76.56341463,34.82,5.995
Afghanistan,,,,,,0.493,18.6,63.377,0.58,3.575
Andorra,,,,,,0.854,43.7,,,
Bahamas,LATIN AMER. & CARIB    ,30455,348959,1.432833084,57,0.807,31.8,73.088,,
Bahrain,MIDDLE EAST,27503,1213966,0.741371669,,0.832,32.1,76.762,,5.96
Barbados,LATIN AMER. & CARIB    ,17395,265165,0,,0.797,38.3,78.801,,
Brunei Darussalam,,,,,,0.852,,75.318,,
Cambodia,,,,,,0.571,24.9,68.637,,3.819
Dominica,,,,,,0.721,33,,,
Equatorial Guinea,,,,,,0.593,19.6,57.359,,
Eritrea,,,,,,0.433,19.4,64.664,,
Eswatini,,,,,,0.584,,55.359,,
Gambia,,,,,,0.457,20.7,,,
Hong Kong,,,,,,0.927,44,84.27804878,67.09,5.474
Kuwait,MIDDLE EAST,43774,3715284,1.830277309,,0.802,29.2,75.13,,6.295
Libya,,,,,,0.694,28.5,72.121,,5.754
Liechtenstein,,,,,,0.912,42.9,82.65609756,,
Maldives,WESTERN ASIA,8135,341018,0.586479306,38.4,0.71,27.8,77.691,,
Marshall Islands,,,,,,..,22.7,,,
Micronesia,,,,,,0.627,24.7,67.315,,
New Zealand,OCEANIA                            ,46198,4129770,12.42199929,40,0.914,37.8,81.45682927,89.86,7.286
Oman,MIDDLE EAST,22328,3631098,0.192779154,30.72,0.822,25.4,76.887,,6.853
Palau,,,,,,0.793,33.3,,,
"Palestine, State of",,,,,,0.687,,,,
Saint Kitts and Nevis,,,,,,0.773,34.5,,,
Saint Lucia,LATIN AMER. & CARIB    ,9372,165596,8.454310491,42.6,0.744,34.2,74.8647344,,
Sao Tome and Principe,,,,,,0.58,,69.377,,
Saudi Arabia,,,,,,0.854,27.2,74.651,13.75,6.411
South Sudan,,,,,,0.399,17.1,56.855,,
The former Yugoslav Republic of Macedonia,,,,,,0.754,,,,
United Arab Emirates,,,,,,0.86,30.3,77.285,25.16,6.901
North Korea,,,,,,..,33.8,71.481,,
Monaco,,,,,,..,52.4,,,
Nauru,,,,,,..,26.1,,,
San Marino,,,,,,..,44.2,,,
Somalia,,,,,,..,17.9,55.92,,
Saint Pierre and Miquelon,,,,,,,45.9,,,
Virgin Islands,,,,,,,45.6,79.16829268,,
Isle of Man,,,,,,,43.9,,,
Guernsey,,,,,,,43.6,,,
Saint Barthelemy,,,,,,,43.6,,,
Bermuda,,,,,,,43.2,81.01219512,,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,,41.5,,,
Sint Maarten,,,,,,,40.7,,,
Taiwan,,,,,,,40.2,,,6.298
Cayman Islands,,,,,,,39.9,,,
Aruba,LATIN AMER. & CARIB    ,27066,95488,9.425268097,,,39.1,75.725,,
Macau,,,,,,,38.7,,,
Jersey,,,,,,,38.5,,,
Faroe Islands,,,,,,,37.7,81.94634146,,
British Virgin Islands,,,,,,,36.2,,,
Curacao,,,,,,,36,78.07560976,,
Cook Islands,,,,,,,35.9,,,
Anguilla,,,,,,,34.6,,,
Gibraltar,,,,,,,34.5,,,
Greenland,,,,,,,33.8,71.24634146,,
Turks and Caicos Islands,,,,,,,32.9,,,
Northern Mariana Islands,,,,,,,32.7,,,
Montserrat,,,,,,,32.6,,,
Saint Martin,,,,,,,32.3,,,
New Caledonia,,,,,,,31.7,77.24430351,,
Wallis and Futuna,,,,,,,31.6,,,
French Polynesia,,,,,,,31.5,76.787,,
Guam,,,,,,,30.4,79.144,,
Brunei,,,,,,,29.9,,,
American Samoa,,,,,,,29.4,,,
Kosovo,,,,,,,28.7,71.34634146,,5.589
Burma,,,,,,,28.6,,,
Cape Verde,,,,,,,24.9,,,
Western Sahara,,,,,,,21.1,,,
Palestinian Territories,,,,,,,19.2,,,4.715
East Timor,,,,,,,18.8,,,
São Tomé and Príncipe,,,,,,,18.2,,12.55,
World,,,,,,,30.1,71.94789833,,
Arab World,,,,,,,,71.24957141,,
Central Europe and the Baltics,,,,,,,,76.59107024,,
Channel Islands,,,,,,,,82.429,,
Caribbean small states,,,,,,,,73.27301598,,
East Asia & Pacific (excluding high income),,,,,,,,74.49622762,,
Early-demographic dividend,,,,,,,,69.74927422,,
East Asia & Pacific,,,,,,,,75.39255688,,
Europe & Central Asia (excluding high income),,,,,,,,72.71037286,,
Europe & Central Asia,,,,,,,,77.23880001,,
Euro area,,,,,,,,81.56932908,,
European Union,,,,,,,,80.62059281,,
Fragile and conflict affected situations,,,,,,,,62.45077645,,
"Gambia, The",,,,,,,,60.91,,
High income,,,,,,,,80.48961424,,
Heavily indebted poor countries (HIPC),,,,,,,,61.85295324,,
IBRD only,,,,,,,,72.69987577,,
IDA & IBRD total,,,,,,,,70.35702857,,
IDA total,,,,,,,,63.26317985,,
IDA blend,,,,,,,,61.37157717,,
IDA only,,,,,,,,64.23176212,,
Not classified,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,74.76044681,,
Latin America & Caribbean,,,,,,,,74.95969785,,
Least developed countries: UN classification,,,,,,,,63.94777696,,
Low income,,,,,,,,62.55473825,,
Lower middle income,,,,,,,,67.80471167,,
Low & middle income,,,,,,,,70.29377543,,
Late-demographic dividend,,,,,,,,75.47081634,,
"Macao SAR, China",,,,,,,,83.707,,
St. Martin (French part),,,,,,,,79.47073171,,
Middle East & North Africa,,,,,,,,73.51484485,,
Middle income,,,,,,,,71.21391513,,
North Macedonia,,,,,,,,75.406,22.43,
Middle East & North Africa (excluding high income),,,,,,,,73.00029612,,
North America,,,,,,,,79.01211102,,
OECD members,,,,,,,,79.93402595,,
Other small states,,,,,,,,67.40523612,,
Pre-demographic dividend,,,,,,,,59.51195893,,
West Bank and Gaza,,,,,,,,73.442,,
Pacific island small states,,,,,,,,69.44445877,,
Post-demographic dividend,,,,,,,,80.39489868,,
South Asia,,,,,,,,68.64190068,,
Sub-Saharan Africa (excluding high income),,,,,,,,59.95148447,,
Sub-Saharan Africa,,,,,,,,59.95283055,,
Small states,,,,,,,,68.61401082,,
East Asia & Pacific (IDA & IBRD countries),,,,,,,,74.53395213,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,73.15024724,,
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,74.8647344,,
Middle East & North Africa (IDA & IBRD countries),,,,,,,,72.99505261,,
South Asia (IDA & IBRD),,,,,,,,68.64190068,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,59.95283055,,
Upper middle income,,,,,,,,75.01752704,,
St. Vincent and the Grenadines,,,,,,,,72.095,,
North Cyprus,,,,,,,,,,5.695
Somaliland region,,,,,,,,,,5.057
Congo (Kinshasa),,,,,,,,,,4.517
Congo (Brazzaville),,,,,,,,,,3.989
